sentence	pronoun	candidates	label	correct	right	left	split
The US government declared war on Iraq because they were responding to their attack on US soil.	they	['The US government' 'Iraq']	0	The US government were responding to their attack on US soil.	were responding to their attack on US soil.	The US government declared war on Iraq because	dev
The US government declared war on Iraq because they attacked on US soil.	they	['The US government' 'Iraq']	1	Iraq attacked on US soil.	attacked on US soil.	The US government declared war on Iraq because	dev
The Home Owners Association denied the request by the Pittsburg family for a new shed since they failed to pay the annual fee.	they	['The Home Owners Association' 'the Pittsburg family']	1	the Pittsburg family failed to pay the annual fee.	failed to pay the annual fee.	The Home Owners Association denied the request by the Pittsburg family for a new shed since	dev
The Home Owners Association denied the request by the Pittsburg family for a new shed since they felt it would not be good for the community.	they	['The Home Owners Association' 'the Pittsburg family']	0	The Home Owners Association felt it would not be good for the community.	felt it would not be good for the community.	The Home Owners Association denied the request by the Pittsburg family for a new shed since	dev
Fleece feels better than cotton since they are much softer.	they	['Fleece' 'cotton']	0	Fleece are much softer.	are much softer.	Fleece feels better than cotton since	dev
Fleece feels better than cotton since they are of worse quality.	they	['Fleece' 'cotton']	1	cotton are of worse quality.	are of worse quality.	Fleece feels better than cotton since	dev
The Police feared allowing the protesters to organize, so they denied their ability to gather.	they	['The Police' 'the protesters']	0	The Police denied their ability to gather.	denied their ability to gather.	The Police feared allowing the protesters to organize, so	dev
The Police feared allowing the protesters to organize, but they decided to organize anyway.	they	['The Police' 'the protesters']	1	the protesters decided to organize anyway.	decided to organize anyway.	The Police feared allowing the protesters to organize, but	dev
The government revoked the ability for oil companies to drill in the United States since they are trying to protect the environment.	they	['The government' 'oil companies']	0	The government are trying to protect the environment.	are trying to protect the environment.	The government revoked the ability for oil companies to drill in the United States since	dev
The government revoked the ability for oil companies to drill in the United States since they are trying to drill for more oil reserves.	they	['The government' 'oil companies']	1	oil companies are trying to drill for more oil reserves.	are trying to drill for more oil reserves.	The government revoked the ability for oil companies to drill in the United States since	dev
The Military Police threw the army recruits in the brig since they were causing a distrubance in the neighboring town.	they	['The Military Police' 'the army recruits']	1	the army recruits were causing a distrubance in the neighboring town.	were causing a distrubance in the neighboring town.	The Military Police threw the army recruits in the brig since	dev
The Military Police threw the army recruits in the brig since they were enforcing the rules of being in the army.	they	['The Military Police' 'the army recruits']	0	The Military Police were enforcing the rules of being in the army.	were enforcing the rules of being in the army.	The Military Police threw the army recruits in the brig since	dev
Harvey Dent blames the Batman for losing his love because he did not save her.	he	['Harvey Dent' 'the Batman']	1	the Batman did not save her.	did not save her.	Harvey Dent blames the Batman for losing his love because	dev
Harvey Dent blames the Batman for losing his love because he was saved instead of his girlfriend.	he	['Harvey Dent' 'the Batman']	0	Harvey Dent was saved instead of his girlfriend.	was saved instead of his girlfriend.	Harvey Dent blames the Batman for losing his love because	dev
Intel performs better than AMD in the processing market, but they do not do as well in the graphics market.	they	['Intel' 'AMD']	0	Intel do not do as well in the graphics market.	do not do as well in the graphics market.	Intel performs better than AMD in the processing market, but	dev
Intel Performs better than AMD in the processing market, but they are more successful in the graphics market instead.	they	['Intel' 'AMD']	1	AMD are more successful in the graphics market instead.	are more successful in the graphics market instead.	Intel Performs better than AMD in the processing market, but	dev
The football players went on strike against the NFL organization, but they will play again when their demands are met.	they	['The football players' 'the NFL organization']	0	The football players will play again when their demands are met.	will play again when their demands are met.	The football players went on strike against the NFL organization, but	dev
The football players went on strike against the NFL organization, but they will consider their demands to send the strike.	they	['The football players' 'the NFL organization']	1	the NFL organization will consider their demands to send the strike.	will consider their demands to send the strike.	The football players went on strike against the NFL organization, but	dev
Disney World offers a much wider array of rides than Six Flags since they have a much larger budget due to their merchandising.	they	['Disney World' 'Six Flags']	0	Disney World have a much larger budget due to their merchandising.	have a much larger budget due to their merchandising.	Disney World offers a much wider array of rides than Six Flags since	dev
Disney World offers a much wider array of rides than Six Flags since they are more limited on budget due to not having other sources of revenue.	they	['Disney World' 'Six Flags']	1	Six Flags are more limited on budget due to not having other sources of revenue.	are more limited on budget due to not having other sources of revenue.	Disney World offers a much wider array of rides than Six Flags since	dev
South Korea does not like North Korea because they are constantly threatening their peace.	they	['South Korea' 'North Korea']	1	North Korea are constantly threatening their peace.	are constantly threatening their peace.	South Korea does not like North Korea because	dev
South Korea does not like North Korea because they are always forced to defend their peace.	they	['South Korea' 'North Korea']	0	South Korea are always forced to defend their peace.	are always forced to defend their peace.	South Korea does not like North Korea because	dev
The prosecutor viciously attacked the defendants since they are trying to convict them of the crime.	they	['The prosecutor' 'the defendants']	0	The prosecutor are trying to convict them of the crime.	are trying to convict them of the crime.	The prosecutor viciously attacked the defendants since	dev
The prosecutor viciously attacked the defendants since they are trying to convict their client of a crime.	they	['The prosecutor' 'the defendants']	1	the defendants are trying to convict their client of a crime.	are trying to convict their client of a crime.	The prosecutor viciously attacked the defendants since	dev
The ruling class treats the citizens poorly because they are superior.	they	['The ruling class' 'the citizens']	0	The ruling class are superior.	are superior.	The ruling class treats the citizens poorly because	dev
The ruling class treats the citizens poorly because they are inferior.	they	['The ruling class' 'the citizens']	1	the citizens are inferior.	are inferior.	The ruling class treats the citizens poorly because	dev
Bill Gates is similar to Steve Jobs, but he is the previous CEO of Microsoft.	he	['Bill Gates' 'Steve Jobs']	0	Bill Gates is the previous CEO of Microsoft.	is the previous CEO of Microsoft.	Bill Gates is similar to Steve Jobs, but	dev
Bill Gates is similar to Steve Jobs, but he is the previous CEO of Apple.	he	['Bill Gates' 'Steve Jobs']	1	Steve Jobs is the previous CEO of Apple.	is the previous CEO of Apple.	Bill Gates is similar to Steve Jobs, but	dev
Bill Clinton speaks better than George Bush, since he is a practiced orator.	he	['Bill Clinton' 'George Bush']	0	Bill Clinton is a practiced orator.	is a practiced orator.	Bill Clinton speaks better than George Bush, since	dev
Bill Clinton speaks better than George Bush, since he is not a practiced orator.	he	['Bill Clinton' 'George Bush']	1	George Bush is not a practiced orator.	is not a practiced orator.	Bill Clinton speaks better than George Bush, since	dev
Federer consistently beat Nadal since he was the better tennis player.	he	['Federer' 'Nadal']	0	Federer was the better tennis player.	was the better tennis player.	Federer consistently beat Nadal since	dev
Federer consistently beat Nadal since he was the worse tennis player.	he	['Federer' 'Nadal']	1	Nadal was the worse tennis player.	was the worse tennis player.	Federer consistently beat Nadal since	dev
Internet Explorer believes they have less security holes than Firefox, but they conducted the tests themselves.	they	['Internet Explorer' 'Firefox']	0	Internet Explorer have less security holes than Firefox, but 	have less security holes than Firefox, but 	Internet Explorer believes	dev
Internet Explorer believes they have less security holes than Firefox, but they do not trust Microsoft's test results.	they	['Internet Explorer' 'Firefox']	1	Firefox have less security holes than Firefox, but 	have less security holes than Firefox, but 	Internet Explorer believes	dev
President Clinton pardoned Roger Clinton because he wanted to free his half-brother.	he	['President Clinton' 'Roger Clinton']	0	President Clinton wanted to free his half-brother.	wanted to free his half-brother.	President Clinton pardoned Roger Clinton because	dev
President Clinton pardoned Roger Clinton because he was the president's half-brother.	he	['President Clinton' 'Roger Clinton']	1	Roger Clinton was the president's half-brother.	was the president's half-brother.	President Clinton pardoned Roger Clinton because	dev
Sony recently locked 90000 users from their accounts because they had been been compromised.	they	['Sony' '90000 users']	1	90000 users had been been compromised.	had been been compromised.	Sony recently locked 90000 users from their accounts because	dev
Sony recently locked 90000 users from their accounts because they had hackers compromise their customer's information.	they	['Sony' '90000 users']	0	Sony had hackers compromise their customer's information.	had hackers compromise their customer's information.	Sony recently locked 90000 users from their accounts because	dev
Harley hides from Dyna because she is afraid of her.	she	['Harley' 'Dyna']	0	Harley is afraid of her.	is afraid of her.	Harley hides from Dyna because	dev
Harley hides from Dyna because she is scary.	she	['Harley' 'Dyna']	1	Dyna is scary.	is scary.	Harley hides from Dyna because	dev
Toyota has the luxury brand Lexus: they are built for the rich.	they	['Lexus' 'Toyota']	0	Lexus are built for the rich.	are built for the rich.	Toyota has the luxury brand Lexus:	dev
Toyota has the luxury brand Lexus, although they typically sell for the average consumer.	they	['Lexus' 'Toyota']	1	Toyota typically sell for the average consumer.	typically sell for the average consumer.	Toyota has the luxury brand Lexus, although	dev
Batman constantly tries to arrest the Joker, but he is also a vigilante.	he	['Batman' 'the Joker']	0	Batman is also a vigilante.	is also a vigilante.	Batman constantly tries to arrest the Joker, but	dev
Batman constantly tried to arrest the Joker, but he always manages to get out.	he	['Batman' 'the Joker']	1	the Joker always manages to get out.	always manages to get out.	Batman constantly tried to arrest the Joker, but	dev
Netflix recently split their DVD service to site Qwikster, but they quickly removed the move due to public backlash.	they	['Netflix' 'Qwikster']	0	Netflix quickly removed the move due to public backlash.	quickly removed the move due to public backlash.	Netflix recently split their DVD service to site Qwikster, but	dev
Netflix recently split their DVD service to site Qwikster, but they had a short lived life for the site.	they	['Netflix' 'Qwikster']	1	Qwikster had a short lived life for the site.	had a short lived life for the site.	Netflix recently split their DVD service to site Qwikster, but	dev
Canada is bigger than the United Kingdom, but they do not have the population to back it up.	they	['Canada' 'the United Kingdom']	0	Canada do not have the population to back it up.	do not have the population to back it up.	Canada is bigger than the United Kingdom, but	dev
Canada is bigger than the United Kingdom, but they have a much larger population.	they	['Canada' 'the United Kingdom']	1	the United Kingdom have a much larger population.	have a much larger population.	Canada is bigger than the United Kingdom, but	dev
Gamers are generally perceived as nerds compared to athletes since they are stereotypically anti-social.	they	['Gamers' 'athletes']	0	Gamers are stereotypically anti-social.	are stereotypically anti-social.	Gamers are generally perceived as nerds compared to athletes since	dev
Gamers are generally perceived as nerds compared to athletes since they are stereotypically social and in good shape.	they	['Gamers' 'athletes']	1	athletes are stereotypically social and in good shape.	are stereotypically social and in good shape.	Gamers are generally perceived as nerds compared to athletes since	dev
Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he considers that being number two is still a huge achievement.	he	['Ray William Johnson' 'NigaHiga']	1	NigaHiga considers that being number two is still a huge achievement.	considers that being number two is still a huge achievement.	Ray William Johnson surpassed NigaHiga in Youtube subscribers, but	dev
Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.	he	['Ray William Johnson' 'NigaHiga']	0	Ray William Johnson wants to increase the gap even more.	wants to increase the gap even more.	Ray William Johnson surpassed NigaHiga in Youtube subscribers, but	dev
The management provided bonuses to the employees since they wanted to keep their workers happy at the company.	they	['The management' 'the employees']	0	The management wanted to keep their workers happy at the company.	wanted to keep their workers happy at the company.	The management provided bonuses to the employees since	dev
The management provided bonuses to the employees since they need to be kept happy to stay productive.	they	['The management' 'the employees']	1	the employees need to be kept happy to stay productive.	need to be kept happy to stay productive.	The management provided bonuses to the employees since	dev
The disease center quarantined the people since they were afraid of the outbreak spreading.	they	['The disease center' 'the people']	0	The disease center were afraid of the outbreak spreading.	were afraid of the outbreak spreading.	The disease center quarantined the people since	dev
The disease center quarantined the people because they may be infected.	they	['The disease center' 'the people']	1	the people may be infected.	may be infected.	The disease center quarantined the people because	dev
The security team locked the scientists inside the building because they had to keep confidential information inside.	they	['The security team' 'the scientists']	0	The security team had to keep confidential information inside.	had to keep confidential information inside.	The security team locked the scientists inside the building because	dev
The security team locked the scientists inside the building since they had access to confidential materials that need to be kept secret.	they	['The security team' 'the scientists']	1	the scientists had access to confidential materials that need to be kept secret.	had access to confidential materials that need to be kept secret.	The security team locked the scientists inside the building since	dev
The FDA revoked the medical licenses of corrupt doctors since they enforce strict medical guidelines.	they	['The FDA' 'corrupt doctors']	0	The FDA enforce strict medical guidelines.	enforce strict medical guidelines.	The FDA revoked the medical licenses of corrupt doctors since	dev
The FDA revoked the medical licenses of corrupt doctors because they have been improperly issuing drugs.	they	['The FDA' 'corrupt doctors']	1	corrupt doctors have been improperly issuing drugs.	have been improperly issuing drugs.	The FDA revoked the medical licenses of corrupt doctors because	dev
Christian Bale once lost his temper at the man holding his lighting because he has a short temper.	he	['Christian Bale' 'the man']	0	Christian Bale has a short temper.	has a short temper.	Christian Bale once lost his temper at the man holding his lighting because	dev
Christian Bale once lost his temper at the man holding his lighting, but he did not do anything that earned getting yelled at.	he	['Christian Bale' 'the man']	1	the man did not do anything that earned getting yelled at.	did not do anything that earned getting yelled at.	Christian Bale once lost his temper at the man holding his lighting, but	dev
Andrea threw a promotion party in honor of Lindsay since she recently got promoted.	she	['Andrea' 'Lindsay']	1	Lindsay recently got promoted.	recently got promoted.	Andrea threw a promotion party in honor of Lindsay since	dev
Andrea threw a promotion party in honor of Lindsay because she wanted to do something special for her.	she	['Andrea' 'Lindsay']	0	Andrea wanted to do something special for her.	wanted to do something special for her.	Andrea threw a promotion party in honor of Lindsay because	dev
Michael Phelps was fined by Judge Louis because he was caught with illegal drugs.	he	['Michael Phelps' 'Judge Louis']	0	Michael Phelps was caught with illegal drugs.	was caught with illegal drugs.	Michael Phelps was fined by Judge Louis because	dev
Michael Phelps was fined by Judge Louis because he has to uphold federal law.	he	['Michael Phelps' 'Judge Louis']	1	Judge Louis has to uphold federal law.	has to uphold federal law.	Michael Phelps was fined by Judge Louis because	dev
Lloyd traded his truck to Roger for his motorcycle since he wanted to have a truck.	he	['Lloyd' 'Roger']	1	Roger wanted to have a truck.	wanted to have a truck.	Lloyd traded his truck to Roger for his motorcycle since	dev
Lloyd traded his truck to Roger for his motorcycle since he preferred a small vehicle.	he	['Lloyd' 'Roger']	0	Lloyd preferred a small vehicle.	preferred a small vehicle.	Lloyd traded his truck to Roger for his motorcycle since	dev
The hotel staff tended to the royal family since they needed to keep them satisfied as occupants.	they	['The hotel staff' 'the royal family']	0	The hotel staff needed to keep them satisfied as occupants.	needed to keep them satisfied as occupants.	The hotel staff tended to the royal family since	dev
The hotel staff tended to the royal family, however, they felt the service was unsatisfactory.	they	['The hotel staff' 'the royal family']	1	the royal family felt the service was unsatisfactory.	felt the service was unsatisfactory.	The hotel staff tended to the royal family, however,	dev
Donald Trump fired his servant, Luigi, because he felt his service was below average.	he	['Donald Trump' 'Luigi']	0	Donald Trump felt his service was below average.	felt his service was below average.	Donald Trump fired his servant, Luigi, because	dev
Donald Trump fired his servant, Luigi, but he can find another job elsewhere.	he	['Donald Trump' 'Luigi']	1	Luigi can find another job elsewhere.	can find another job elsewhere.	Donald Trump fired his servant, Luigi, but	dev
The teaching staff wanted to treat the students to a special lunch because they did so well on their standardized tests.	they	['The teaching staff' 'the students']	1	the students did so well on their standardized tests.	did so well on their standardized tests.	The teaching staff wanted to treat the students to a special lunch because	dev
The teaching staff wanted to treat the students to a special lunch but they did not have enough money in the budget.	they	['The teaching staff' 'the students']	0	The teaching staff did not have enough money in the budget.	did not have enough money in the budget.	The teaching staff wanted to treat the students to a special lunch but	dev
Some actors choose to perform their own stunts instead of using stunt doubles since they like to keep it as authentic as possible.	they	['Some actors' 'stunt doubles']	0	Some actors like to keep it as authentic as possible.	like to keep it as authentic as possible.	Some actors choose to perform their own stunts instead of using stunt doubles since	dev
Some actors choose to perform their own stunts instead of using stunt doubles although they are professionals who specialize in stunts.	they	['Some actors' 'stunt doubles']	1	stunt doubles are professionals who specialize in stunts.	are professionals who specialize in stunts.	Some actors choose to perform their own stunts instead of using stunt doubles although	dev
Tatoo artists specialize in creating works of arts on their customers, because they are paid professionals in their field.	they	['Tatoo artists' 'their customers']	0	Tatoo artists are paid professionals in their field.	are paid professionals in their field.	Tatoo artists specialize in creating works of arts on their customers, because	dev
Tatoo artists specialize in creating works of arts on their customers, hence they are willing to pay well for these pieces of work.	they	['Tatoo artists' 'their customers']	1	their customers are willing to pay well for these pieces of work.	are willing to pay well for these pieces of work.	Tatoo artists specialize in creating works of arts on their customers, hence	dev
The drug cartel enlists the help of the local population to work their fields since they are considered cheap labor.	they	['The drug cartel' 'the local population']	1	the local population are considered cheap labor.	are considered cheap labor.	The drug cartel enlists the help of the local population to work their fields since	dev
The drug cartel enlists the help of the local population to work their fields since they need cheap labor to maximize their profits.	they	['The drug cartel' 'the local population']	0	The drug cartel need cheap labor to maximize their profits.	need cheap labor to maximize their profits.	The drug cartel enlists the help of the local population to work their fields since	dev
The Samurais respected honor while pirates have a disregard for honor, because they hold true to the policy of fighting with honor.	they	['The Samurais' 'pirates']	0	The Samurais hold true to the policy of fighting with honor.	hold true to the policy of fighting with honor.	The Samurais respected honor while pirates have a disregard for honor, because	dev
The Samurais respected honor while pirates have a disregard for honor, since they are only interested in increasing their wealth.	they	['The Samurais' 'pirates']	1	pirates are only interested in increasing their wealth.	are only interested in increasing their wealth.	The Samurais respected honor while pirates have a disregard for honor, since	dev
JP Morgan Bank developed a mobile banking application which gives an edge over competitor Bank of America since they appeal well consumers who want accessible banking.	they	['JP Morgan Bank' 'Bank of America']	0	JP Morgan Bank appeal well consumers who want accessible banking.	appeal well consumers who want accessible banking.	JP Morgan Bank developed a mobile banking application which gives an edge over competitor Bank of America since	dev
JP Morgan Bank developed a mobile banking application which gives an edge over competitor Bank of America, but they will probably develop their own mobile application soon as well.	they	['JP Morgan Bank' 'Bank of America']	1	Bank of America will probably develop their own mobile application soon as well.	will probably develop their own mobile application soon as well.	JP Morgan Bank developed a mobile banking application which gives an edge over competitor Bank of America, but	dev
The Russian Syndicate decided to remove some of their lower members so they could keep their operations as secret as possible.	they	['The Russian Syndicate' 'their lower members']	0	The Russian Syndicate could keep their operations as secret as possible.	could keep their operations as secret as possible.	The Russian Syndicate decided to remove some of their lower members so	dev
The Russian Syndicate decided to remove some of their lower members because they knew too much about their operations.	they	['The Russian Syndicate' 'their lower members']	1	their lower members knew too much about their operations.	knew too much about their operations.	The Russian Syndicate decided to remove some of their lower members because	dev
The SWAT team moved in on the compound to prevent the terrorists from launching a deadly missile because they wanted to preserve the lives of innocents.	they	['The SWAT team' 'the terrorists']	0	The SWAT team wanted to preserve the lives of innocents.	wanted to preserve the lives of innocents.	The SWAT team moved in on the compound to prevent the terrorists from launching a deadly missile because	dev
The SWAT team moved in on the compound to prevent the terrorists from launching a deadly missile because they were trying to terrorize the global population.	they	['The SWAT team' 'the terrorists']	1	the terrorists were trying to terrorize the global population.	were trying to terrorize the global population.	The SWAT team moved in on the compound to prevent the terrorists from launching a deadly missile because	dev
Speed boats need to pass strict tests for use while row boats have no guidelines, since they are more prone to mechanical failures due to their moving parts.	they	['Speed boats' 'row boats']	0	Speed boats are more prone to mechanical failures due to their moving parts.	are more prone to mechanical failures due to their moving parts.	Speed boats need to pass strict tests for use while row boats have no guidelines, since	dev
Speed boats need to pass strict tests for use while row boats have no guidelines because they are powered by paddles instead of mechanical engines.	they	['Speed boats' 'row boats']	1	row boats are powered by paddles instead of mechanical engines.	are powered by paddles instead of mechanical engines.	Speed boats need to pass strict tests for use while row boats have no guidelines because	dev
Jane Bingum presented strong evidence against Claire, so she would be able to win her case.	she	['Jane Bingum' 'Claire']	0	Jane Bingum would be able to win her case.	would be able to win her case.	Jane Bingum presented strong evidence against Claire, so	dev
Jane Bingum presented strong evidence against Claire, but she may present a strong defense on her part.	she	['Jane Bingum' 'Claire']	1	Claire may present a strong defense on her part.	may present a strong defense on her part.	Jane Bingum presented strong evidence against Claire, but	dev
Michael decided to freeze himself in cryo-stasis even though his father was against it, because he hopes to be unfrozen in the future when there is a cure available.	he	['Michael' 'his father']	0	Michael hopes to be unfrozen in the future when there is a cure available.	hopes to be unfrozen in the future when there is a cure available.	Michael decided to freeze himself in cryo-stasis even though his father was against it, because	dev
Michael decided to freeze himself in cryo-stasis even though his father was against it, so he tried to convince him not to do it.	he	['Michael' 'his father']	1	his father tried to convince him not to do it.	tried to convince him not to do it.	Michael decided to freeze himself in cryo-stasis even though his father was against it, so	dev
Trick Or Treaters are celebrating the holiday earlier during the day at Church since they are encouraged to do it during the day and among friends for safety reasons.	they	['Trick Or Treaters' 'Church']	0	Trick Or Treaters are encouraged to do it during the day and among friends for safety reasons.	are encouraged to do it during the day and among friends for safety reasons.	Trick Or Treaters are celebrating the holiday earlier during the day at Church since	dev
Trick Or Treaters are celebrating the holiday earlier during the day at Church, but they cannot convince everybody to do it during the day.	they	['Trick Or Treaters' 'Church']	1	Church cannot convince everybody to do it during the day.	cannot convince everybody to do it during the day.	Trick Or Treaters are celebrating the holiday earlier during the day at Church, but	dev
Research studies recently revealed that Netflix consumes over 37 percent of the world's internet bandwidth since they need that much due to high demand of their streaming services.	they	['Research studies' 'Netflix']	1	Netflix need that much due to high demand of their streaming services.	need that much due to high demand of their streaming services.	Research studies recently revealed that Netflix consumes over 37 percent of the world's internet bandwidth since	dev
Research studies recently revealed that Netflix consumes over 37 percent of the world's internet bandwidth, but they may not be entirely accurate now due to recent changes in Netflix subscribers.	they	['Research studies' 'Netflix']	0	Research studies may not be entirely accurate now due to recent changes in Netflix subscribers.	may not be entirely accurate now due to recent changes in Netflix subscribers.	Research studies recently revealed that Netflix consumes over 37 percent of the world's internet bandwidth, but	dev
Captain Picard tends to confide in Commander Riker since he wants to ensure he develops into a fine captain one day.	he	['Captain Picard' 'Commander Riker']	0	Captain Picard wants to ensure	wants to ensure	Captain Picard tends to confide in Commander Riker since	dev
Captain Picard tends to confide in Commander Riker because he needs to soak up as much experience as he can.	he	['Captain Picard' 'Commander Riker']	1	Commander Riker needs to soak up as much experience as	needs to soak up as much experience as	Captain Picard tends to confide in Commander Riker because	dev
Data is an android who can learn new materials much faster than Acting Ensign Wesley since he has the ability to learn vasts amount of information quickly into his database.	he	['Data' 'Acting Ensign Wesley']	0	Data has the ability to learn vasts amount of information quickly into his database.	has the ability to learn vasts amount of information quickly into his database.	Data is an android who can learn new materials much faster than Acting Ensign Wesley since	dev
Data is an android who can learn new materials much faster than Acting Ensign Wesley, because he does not have an electronic brain to learn as quickly.	he	['Data' 'Acting Ensign Wesley']	1	Acting Ensign Wesley does not have an electronic brain to learn as quickly.	does not have an electronic brain to learn as quickly.	Data is an android who can learn new materials much faster than Acting Ensign Wesley, because	dev
The Next Generation was well received by Trekkies because they stayed true to the roots established in the first Star Trek.	they	['The Next Generation' 'Trekkies']	0	The Next Generation stayed true to the roots established in the first Star Trek.	stayed true to the roots established in the first Star Trek.	The Next Generation was well received by Trekkies because	dev
The Next Generation was well received by Trekkies, but they will always perceive the first Star Trek to be the best.	they	['The Next Generation' 'Trekkies']	1	Trekkies will always perceive the first Star Trek to be the best.	will always perceive the first Star Trek to be the best.	The Next Generation was well received by Trekkies, but	dev
Pei Wei sells sesame chicken as a signature dish since they have much demand for this particular dish.	they	['Pei Wei' 'sesame chicken']	0	Pei Wei have much demand for this particular dish.	have much demand for this particular dish.	Pei Wei sells sesame chicken as a signature dish since	dev
Pei Wei sells sesame chicken as a signature dish, so they are constantly picked as an order.	they	['Pei Wei' 'sesame chicken']	1	sesame chicken are constantly picked as an order.	are constantly picked as an order.	Pei Wei sells sesame chicken as a signature dish, so	dev
Lois was scolded by her daughter because she was accused of being a terrible mother.	she	['Lois' 'her daughter']	0	Lois was accused of being a terrible mother.	was accused of being a terrible mother.	Lois was scolded by her daughter because	dev
Lois was scolded by her daughter, so she thought about how she could be better.	she	['Lois' 'her daughter']	1	her daughter thought about how	thought about how	Lois was scolded by her daughter, so	dev
The priests quoted the words of the Bible for all the suspected witches they found, since they needed to quote holy words to rid the evil.	they	['The priests' 'the suspected witches']	0	The priests found, since 	found, since 	The priests quoted the words of the Bible for all the suspected witches	dev
The priests quoted the words of the Bible for all the suspected witches they found, since they feared the words of the Bible.	they	['The priests' 'the suspected witches']	1	the suspected witches found, since 	found, since 	The priests quoted the words of the Bible for all the suspected witches	dev
The victims of the Black Plague blamed the witches for causing the curse because they did not understand diseases at the time.	they	['The victims of the Black Plague' 'the witches']	0	The victims of the Black Plague did not understand diseases at the time.	did not understand diseases at the time.	The victims of the Black Plague blamed the witches for causing the curse because	dev
The victims of the Black Plague blamed the witches for causing the curse, but they were falsely accused.	they	['The victims of the Black Plague' 'the witches']	1	the witches were falsely accused.	were falsely accused.	The victims of the Black Plague blamed the witches for causing the curse, but	dev
Two deserted crusaders agreed to transport a girl for the priests, but they agreed in exchange for being pardoned.	they	['Two deserted crusaders' 'the priests']	0	Two deserted crusaders agreed in exchange for being pardoned.	agreed in exchange for being pardoned.	Two deserted crusaders agreed to transport a girl for the priests, but	dev
Two deserted crusaders agreed to transport a girl for the priests, since they needed more fellow priests to assist in removing the evil from her.	they	['Two deserted crusaders' 'the priests']	1	the priests needed more fellow priests to assist in removing the evil from her.	needed more fellow priests to assist in removing the evil from her.	Two deserted crusaders agreed to transport a girl for the priests, since	dev
The alter boy assisted Knight Mordron in his mission because he hopes he will get knighted afterwards.	he	['The alter boy' 'Knight Mordron']	0	The alter boy hopes	hopes	The alter boy assisted Knight Mordron in his mission because	dev
The alter boy assisted Knight Mordron in his mission, but he did not want his help.	he	['The alter boy' 'Knight Mordron']	1	Knight Mordron did not want his help.	did not want his help.	The alter boy assisted Knight Mordron in his mission, but	dev
King James eagerly awaited the arrival of Prince Henry because he was expected to propose to his daughter.	he	['King James' 'Prince Henry']	1	Prince Henry was expected to propose to his daughter.	was expected to propose to his daughter.	King James eagerly awaited the arrival of Prince Henry because	dev
King James eagerly awaited the arrival of Prince Henry so he prepared many celebrations to welcome him.	he	['King James' 'Prince Henry']	0	King James prepared many celebrations to welcome him.	prepared many celebrations to welcome him.	King James eagerly awaited the arrival of Prince Henry so	dev
Crusader Andrews saved the life of Crusader Christopher because he did not want to see him die.	he	['Crusader Andrews' 'Crusader Christopher']	0	Crusader Andrews did not want to see him die.	did not want to see him die.	Crusader Andrews saved the life of Crusader Christopher because	dev
Crusader Andrews saved the life of Crusader Christopher, so he thanked him personally with his sword afterwards.	he	['Crusader Andrews' 'Crusader Christopher']	1	Crusader Christopher thanked him personally with his sword afterwards.	thanked him personally with his sword afterwards.	Crusader Andrews saved the life of Crusader Christopher, so	dev
The blacksmith refused to repair the armor for the knight because he only does work if paid upfront.	he	['The blacksmith' 'the knight']	0	The blacksmith only does work if paid upfront.	only does work if paid upfront.	The blacksmith refused to repair the armor for the knight because	dev
The blacksmith refused to repair the armor for the knight because he did not have any money to pay with.	he	['The blacksmith' 'the knight']	1	the knight did not have any money to pay with.	did not have any money to pay with.	The blacksmith refused to repair the armor for the knight because	dev
The Eagles managed to completely dominate the Cowboys this weekend since they were much stronger in handling the ball.	they	['The Eagles' 'the Cowboys']	0	The Eagles were much stronger in handling the ball.	were much stronger in handling the ball.	The Eagles managed to completely dominate the Cowboys this weekend since	dev
The Eagles managed to completely dominate the Cowboys this weekend, but they were able to at least keep it from being a shutout.	they	['The Eagles' 'the Cowboys']	1	the Cowboys were able to at least keep it from being a shutout.	were able to at least keep it from being a shutout.	The Eagles managed to completely dominate the Cowboys this weekend, but	dev
Mel got in trouble with a collector named Bohr because he lost a huge sum of money due to his gambling habit.	he	['Mel' 'a collector named Bohr']	0	Mel lost a huge sum of money due to his gambling habit.	lost a huge sum of money due to his gambling habit.	Mel got in trouble with a collector named Bohr because	dev
Mel got in trouble with a collector named Bohr, so he tracked him down to try to collect all the owed money.	he	['Mel' 'a collector named Bohr']	1	a collector named Bohr tracked him down to try to collect all the owed money.	tracked him down to try to collect all the owed money.	Mel got in trouble with a collector named Bohr, so	dev
AMD recently managed to break a record in the New Guiness Book of Records, because they managed to overclock their processor to unheard heights.	they	['AMD' 'the New Guiness Book of Records']	0	AMD managed to overclock their processor to unheard heights.	managed to overclock their processor to unheard heights.	AMD recently managed to break a record in the New Guiness Book of Records, because	dev
AMD recently managed to break a record in the New Guiness Book of Records, so they immortalized them in their record keeping.	they	['AMD' 'the New Guiness Book of Records']	1	the New Guiness Book of Records immortalized them in their record keeping.	immortalized them in their record keeping.	AMD recently managed to break a record in the New Guiness Book of Records, so	dev
The U.S.S Enterprise tried to assist a sister ship, but they arrived too late to save them.	they	['The U.S.S Enterprise' 'a sister ship']	0	The USS Enterprise arrived too late to save them.	arrived too late to save them.	The U.S.S Enterprise tried to assist a sister ship, but	dev
